Time,PriceImportElectricity,PriceExportElectricity,PriceHydrogen,TemperatureAmbient,HeatValue,HeatH2,HeatEl,HeatFC,HeatHP,HeatWasteEl,HeatWasteFC,HeatDemand1,HeatDemand2,HeatDemand3,HeatConsumption,HeatAvgConsumption,HeatSupply,HeatWaste,ElectricityDemand,LoadH2System,LoadElectrolyser,LoadCompressor,LoadHeatPump,ElectricitySupply,ElectricityFCGeneration,NetElectricity,H2Produced,H2FCUsed,H2Stored,H2Imported,H2Exported,TCons1,TCons2,TCons3,TConsAvg,TCons1Slack,TCons2Slack,TCons3Slack,HeatSlack,DateTime
11,0.13027160000000002,0.0002716,3.3,13.14,0.03678455765639687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.25835043744374,20.25835043744374,20.25835043744374,20.25835043744374,0.0,0.0,0.0,0.0,2023-01-01 11:00:00
12,0.1328712,0.0028712,3.3,13.32,0.037963199999999996,0.0,0.0,0.0,4.0079999999999965,0.0,0.0,1.3359999999999987,1.3359999999999987,1.3359999999999987,4.0079999999999965,1.3359999999999987,4.0079999999999965,0.0,1.1451428571428561,0.0,0.0,0.0,1.1451428571428561,0.0,0.0,1.1451428571428561,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 12:00:00
13,0.1292337,-0.0007663,3.3,14.81,0.03692391428571429,0.0,0.0,0.0,3.113999999999984,0.0,0.0,1.0379999999999945,1.0379999999999945,1.0379999999999945,3.1139999999999834,1.0379999999999945,3.113999999999984,0.0,0.8897142857142811,0.0,0.0,0.0,0.8897142857142811,0.0,0.0,0.8897142857142811,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 13:00:00
14,0.1329682,0.0029682,3.3,14.91,0.037990914285714286,0.0,0.0,0.0,29.637929813095916,0.0,0.0,9.879309937698638,9.879309937698638,9.879309937698638,29.637929813095916,9.879309937698638,29.637929813095916,0.0,8.467979946598833,0.0,0.0,0.0,8.467979946598833,0.0,0.0,8.467979946598833,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 14:00:00
15,0.1392441,0.0092441,3.3,13.76,0.03942166783157465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.608043407561677,21.608043407561677,21.608043407561677,21.608043407561677,0.0,0.0,0.0,0.0,2023-01-01 15:00:00
16,0.1493515,0.0193515,3.3,13.07,0.04090630414776259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.323209798253007,21.323209798253007,21.323209798253007,21.323209798253007,0.0,0.0,0.0,0.0,2023-01-01 16:00:00
17,0.1595462,0.029546199999999998,3.3,11.92,0.042446852481695725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,21.02367124919847,21.02367124919847,21.02367124919847,21.02367124919847,0.0,0.0,0.0,0.0,2023-01-01 17:00:00
18,0.1633583,0.0333583,3.3,11.19,0.044045418503088754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.693266407480802,20.693266407480802,20.693266407480802,20.693266407480802,0.0,0.0,0.0,0.0,2023-01-01 18:00:00
19,0.1640955,0.0340955,3.3,10.75,0.04570418718204877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.348358825999217,20.348358825999217,20.348358825999217,20.348358825999217,0.0,0.0,0.0,0.0,2023-01-01 19:00:00
20,0.15868290000000002,0.0286829,3.3,10.48,0.04533797142857143,0.0,0.0,0.0,5.711999999999979,0.0,0.0,1.903999999999993,1.903999999999993,1.903999999999993,5.711999999999979,1.903999999999993,5.711999999999979,0.0,1.6319999999999941,0.0,0.0,0.0,1.6319999999999941,0.0,0.0,1.6319999999999941,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 20:00:00
21,0.15417240000000001,0.0241724,3.3,10.0,0.044049257142857144,0.0,0.0,0.0,6.000000000000027,0.0,0.0,2.0000000000000084,2.0000000000000084,2.0000000000000084,6.000000000000025,2.0000000000000084,6.000000000000027,0.0,1.714285714285722,0.0,0.0,0.0,1.714285714285722,0.0,0.0,1.714285714285722,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 21:00:00
22,0.15009840000000002,0.020098400000000002,3.3,9.54,0.042885257142857146,0.0,0.0,0.0,6.275999999999983,0.0,0.0,2.0919999999999943,2.0919999999999943,2.0919999999999943,6.275999999999983,2.0919999999999943,6.275999999999983,0.0,1.7931428571428523,0.0,0.0,0.0,1.7931428571428523,0.0,0.0,1.7931428571428523,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 22:00:00
23,0.1430562,0.0130562,3.3,9.19,0.0408732,0.0,0.0,0.0,20.66668328777873,0.0,0.0,6.888894429259576,6.888894429259576,6.888894429259576,20.666683287778728,6.888894429259576,20.66668328777873,0.0,5.904766653651066,0.0,0.0,0.0,5.904766653651066,0.0,0.0,5.904766653651066,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-01 23:00:00
24,0.1691589,0.0391589,3.3,8.98,0.042412501618035815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.85777965996582,20.85777965996582,20.85777965996582,20.85777965996582,0.0,0.0,0.0,0.0,2023-01-02 00:00:00
25,0.1583531,0.028353100000000003,3.3,8.67,0.04400977397169515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.420015095646615,0.0,0.0,20.426692486332016,20.426692486332016,20.426692486332016,20.426692486332016,0.0,0.0,0.0,0.0,2023-01-02 01:00:00
26,0.1516116,0.021611599999999998,3.3,8.32,0.043317600000000005,0.0,0.0,0.0,7.008000000000013,0.0,0.0,2.3360000000000043,2.3360000000000043,2.3360000000000043,7.008000000000013,2.3360000000000043,7.008000000000013,0.0,2.002285714285718,0.0,0.0,0.0,2.002285714285718,0.0,0.0,2.002285714285718,0.0,0.0,12.420015095646615,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2023-01-02 02:00:00
