Iteration,Norm1PrimalResidualHeat,Norm1PrimalResidualElec,Cost,HeatValue,ElecValue,Norm2DualResidualHeat,Norm2PrimalResidualHeat,Norm2DualResidualElec,Norm2PrimalResidualElec,WeightedHeatValue,WeightedElecValue
0,35399.404464959356,33178.75522235301,-3709.155960640684,0.0,0.0,2.9537161957707494,508.6460838007206,7.536142416212695,359.73213612834627,0.0,0.0
1,11334.48275295591,11543.930952882543,1110.8146722683846,353.9940446495916,1658.937761117652,4.325927373281636,166.31141692041666,8.138465104781577,144.73886198889946,0.0734613996900683,0.19896836042747187
2,9078.764957535937,3566.9282778503875,3845.0995170291753,460.9652434839935,2236.1343087617647,1.4273373048886777,126.85669283504802,6.079988777130174,58.02502495984417,0.0879762518880444,0.26725729634040374
3,6633.218926613523,1183.1253831371835,5065.730584643648,531.7957688415536,2414.480696640325,1.5236387552350636,92.08333439104585,5.081331324135712,22.92381300036624,0.09533679572742795,0.2890269317974258
4,4049.8340060508754,759.9633845999596,5142.2969860649055,524.07281609754,2472.671848710612,0.9759495447353884,56.45730744279382,3.978857839022006,15.314987964657401,0.08840550439582404,0.2951405571476293
5,2897.7131830175604,825.3729767534614,5182.9327279567215,510.75815179264623,2498.7174842049053,0.6417851671884042,41.21335343820475,2.31647595327913,16.61505245148468,0.08335688760266081,0.29673797758836795
6,2035.0983279142447,909.741658025374,5182.976598478457,499.04286875204866,2506.176529913195,0.4802310057333856,29.3806783755226,1.3234503795246644,17.746826422801483,0.08006233467637404,0.29595632829863583
7,1350.5752696709606,752.313829547013,5152.001327594951,494.8372743206882,2500.2259875641585,0.4091768870830228,23.076555951299643,0.9037161965061222,15.324285630079507,0.07859856870213607,0.29379689560893346
8,1088.3299203266972,549.7463012905108,5120.832817695275,493.62948489060483,2492.2293048505585,0.3605118531800015,19.45907598263767,0.831545952474359,11.168781795356885,0.07809931205348758,0.29181563588314713
9,827.988669602243,386.777615040342,5086.857496195113,492.6320623180496,2486.4996912872575,0.3164557485544258,14.934438172248907,0.8004160263157906,8.075377861288773,0.07795372426667375,0.2905976870764615
10,650.7098354541232,311.5393780750769,5053.1825774272675,492.4590071064852,2483.8825462625387,0.27034038101780095,12.25506664673562,0.6927601149366894,6.506161833102148,0.07795999910686231,0.2900148168088159
11,501.8550907726206,269.0690381523777,5032.263289682342,493.404283151513,2484.825138739204,0.2338479815111297,9.837668770728994,0.5587311160607223,5.517663287876382,0.07803321765874167,0.28999198941028514
12,412.6062667674815,232.01392432201823,5028.464255872842,495.2129630811781,2487.750785553932,0.20396845831501384,8.144972598521354,0.4636230409408657,4.73900990844514,0.07814803712031762,0.29027251789070224
13,329.8122102753654,186.1243310542441,5035.295989187108,497.0262326888954,2490.8116843031416,0.1787862617097874,6.786437634436038,0.3930501178393186,4.0092934680076056,0.0782434410203166,0.2906115086679958
14,270.40750097687896,143.24191439647763,5044.821857842721,498.32399757378226,2492.885262557629,0.15846703528360273,5.718552481795104,0.36247706846873035,3.242673166265292,0.07828225630005277,0.29084277534474484
15,225.011534523688,112.67005584543129,5052.366580541177,499.0512905768787,2493.7311255259665,0.14161476071274837,4.9268482535599585,0.3278710986695604,2.6619531669033942,0.0782682159866401,0.2909183535135983
16,178.60451349845198,87.57424276407747,5057.148931383904,499.397883454271,2493.5457909518027,0.12629218347245233,4.390599131687546,0.2984014461640272,2.2133229493126048,0.07820510454032421,0.2908513748464295
17,155.3068262496891,79.72682755711777,5059.2056191497095,499.5283111772931,2492.6280175317497,0.11541611563556411,4.005453994679543,0.2771841694721348,1.9658922773033127,0.07811948460594648,0.2906926630547439
18,139.38041624369666,67.60062187765013,5059.291043752088,499.5027350407917,2491.3915443558362,0.10571064695572306,3.7522138318236435,0.2558107300998044,1.6630082042141845,0.0780316182429387,0.2905045296859755
19,124.73685671527592,62.59587282037378,5057.593343867879,499.4195247359161,2490.083751025777,0.09696362724106615,3.392928493747761,0.2287764475380022,1.5639855887140366,0.07794589092679173,0.29031974615863937
20,111.82915550467658,52.872768414471196,5054.956414636328,499.32334578687636,2488.9764755304186,0.0900964868371317,3.1892823097979663,0.20686712080139663,1.3251323111984166,0.07786705765674025,0.2901720906716603
21,100.65672754537691,41.942146302641966,5052.192126464081,499.2738883573402,2488.1503537800672,0.08406606871647485,3.0054464693799976,0.19551779625077967,1.154936491699469,0.07779921551030694,0.29006953097826643
22,90.2368307548182,35.41788772699571,5049.975169325348,499.31698771122063,2487.559241043309,0.07888642420442663,2.8122578377966243,0.1904353219210435,1.0053801718077247,0.07775096806460711,0.2900041982482322
23,84.2341693948086,31.58087027317835,5048.412983506096,499.4352835945644,2487.1373968736434,0.07370184726947084,2.677468029757704,0.17779896056845895,0.872705331641081,0.0777210424858452,0.28996343515447304
24,78.43564053250975,27.31245553706331,5047.376042038865,499.601052964126,2486.823916989948,0.0694795647694738,2.4546691035677295,0.16539637040977004,0.7531353235939104,0.07770153617610122,0.2899353774337925
25,66.21778263224473,24.560945416589277,5046.633936506255,499.78530490578675,2486.5792783094053,0.06620054137754018,2.053833449885147,0.1577365516707181,0.6960360302059647,0.0776907652709689,0.2899120795915387
26,55.414346392406024,22.41399971296352,5046.082349185188,499.94370632400796,2486.398582890725,0.06313216309190303,1.6471910356876436,0.15230031936938973,0.6609160738410408,0.07768390225645744,0.2898937860419995
27,42.393452026073376,20.92823854464388,5045.622411720334,500.043994163607,2486.2744677613437,0.059393719427054605,1.2871667244706555,0.14723232431416336,0.6444232862847419,0.0776767526828375,0.2898804893920602
