Iteration,Norm1PrimalResidualHeat,Norm1PrimalResidualElec,Cost,HeatValue,ElecValue,Norm2DualResidualHeat,Norm2PrimalResidualHeat,Norm2DualResidualElec,Norm2PrimalResidualElec,WeightedHeatValue,WeightedElecValue
0,35153.90621507008,21608.75894484992,-1838.7553855224878,0.0,0.0,14.80317968977082,507.0794302420195,14.145253865003495,236.08267832535861,0.0,0.0
1,22638.111480144744,3493.4372421935495,13461.110146587424,1757.695310753504,2160.875894484999,31.66181808099355,346.17598481883874,15.402504626738242,54.95074839427733,0.3659709595969878,0.26175925906366665
2,1864.0139402335703,504.5271597872127,5949.128836815228,689.2955518703088,2510.2196187037734,26.28211746427879,39.497110201622,9.492783853757782,12.087085990257348,0.12086001294727157,0.2999034539932111
3,1631.1975575581928,419.57547207390996,5556.248269094723,635.4381455949386,2556.1186521269524,3.2481690273557424,23.410992488348892,5.699323305168932,9.980034673672886,0.10369437275027063,0.30327735528898225
4,780.4476260158983,309.0090144650082,5385.857471031093,568.9468496433963,2574.266773060162,1.6301583843073248,12.814294410402228,4.498188427613835,7.794109378523779,0.08981493218769113,0.30385856399315536
5,381.5220302275534,281.9964853042979,5274.359933578452,542.0985457381408,2578.207279689307,1.3366953359926634,7.005861419902441,3.8351226115674204,6.963221659639673,0.0842275799020711,0.30322402006816557
6,314.1367491453287,262.4484717829318,5222.588643576666,539.0307423218231,2573.9528533307944,1.1065258444817467,6.139074683270095,3.3396997677082347,6.454309768343466,0.08389438748686906,0.3018433404803974
7,263.75553624247345,239.03558579987362,5199.2369476131735,535.5709826765319,2564.218737622414,0.9356826904915377,4.77244581053864,2.6705339662562304,6.158408315390353,0.08341452124671771,0.3000641399610967
8,287.3050337012265,218.50557043629038,5188.632167369,526.7128626545773,2550.3190425405323,0.7200716160651359,5.121643674177126,1.7069628503177283,5.946520829050811,0.08193852887662091,0.29797612456213984
9,191.81738865248707,208.7767355724551,5168.789925268325,515.569014154362,2534.9328746515052,0.6052841616132497,4.0242179029007366,1.111604344213073,5.786609845031434,0.07997032351675858,0.295858804636182
10,103.24965013516444,160.91738589599998,5143.936045017446,509.4866705918105,2520.728423444809,0.5592855290416958,2.5254402487159155,0.79566487925496,4.65499089443653,0.07891406065086212,0.2940118381942803
11,81.88889553363236,112.58350592863314,5124.789799768637,506.77931370596843,2511.601937611339,0.51366447191454,2.2527474876862064,0.6216566784287435,3.4404360477069176,0.07854623639701229,0.2928803569003069
12,59.44273596972762,80.68221126512894,5110.441670380931,505.7297147637585,2507.044080459416,0.49223169433607056,1.6322817716831532,0.5447844316348041,2.0975105139316828,0.07841712459306188,0.29237586436836854
13,46.156027562305866,57.79669861832144,5102.26924045043,505.5720647908297,2506.0496231061193,0.48217256867272035,1.2882458861392136,0.4858063658573391,1.466836514772133,0.07838954641923694,0.29235019680689656
14,39.2701492108783,47.746302242783116,5099.417856277831,506.1729500587131,2506.769493466681,0.47540037334474844,0.9813088144717134,0.4312025334098737,1.221791813724663,0.07846554168917719,0.2925223880283878
15,35.19992274263822,39.616738994952684,5099.3822389973575,506.87116299618884,2507.726176609928,0.46828865470694137,0.9211894250480733,0.39341329930070595,1.0469355024472133,0.07856729879872058,0.2926902826132992
16,30.346392555530812,33.5652964742308,5099.7301640000915,507.35396457301766,2508.072376392746,0.4608881570687404,0.7623350885283191,0.3709990311659331,0.9038662750331021,0.07865111095156423,0.2927410039058301
17,30.146741454802417,29.42177793318427,5099.228707073009,507.4483300679419,2507.7299126676558,0.4533700485965191,0.8154333841272178,0.35341610114233496,0.8010121214075171,0.07868259452467623,0.29268251868733763
18,30.371410001318623,26.288879659383866,5097.922603761532,507.3080586480977,2506.8980704706764,0.443846026577673,0.8460903545731449,0.3327700315404096,0.7946296022897873,0.0786705939647354,0.29255891214801244
19,33.44759569152321,24.584439243247125,5095.732926185365,507.01104246392197,2505.810748486723,0.4352739206383605,0.9195462188942934,0.31843297751275446,0.8002166558244395,0.07862360901599559,0.2924067310945344
20,29.20962317997293,21.565378333667333,5093.115785304713,506.68406876046595,2504.7306409850735,0.429354543476243,0.7815614135880966,0.31544619250803174,0.793126057008815,0.0785681908843108,0.29226183256488014
21,25.78492151027342,21.04990094800997,5090.411851525364,506.38192477934854,2503.7808425680814,0.42334602603447924,0.7278193140162776,0.30792925130289284,0.8100117300092496,0.07851966903043098,0.2921417506036381
22,23.296917103981972,19.504768096105053,5087.617018484825,506.1693629245841,2502.9803966586214,0.41691527648595045,0.6927766544470879,0.30670939032990385,0.7514955296597219,0.07848861691804065,0.29204245706919585
23,22.81307638204165,16.686549787591932,5085.058765642369,506.01030396912876,2502.3880040460144,0.40985689878160186,0.6539851729138081,0.30152177336638053,0.7127757156335891,0.07845955040697775,0.29196931351265276
24,22.514632980849335,16.328041852302633,5082.785656282954,505.89933918700325,2501.9491829462236,0.403937190935034,0.6847942234943807,0.29507760033705394,0.7045499592799657,0.07843779016442531,0.2919167335959058
25,21.81850779295321,15.256925513274842,5080.748928609687,505.9034729497928,2501.542715501636,0.3957871526471593,0.6578928881422251,0.2873798656431554,0.6376535430070803,0.078431722210296,0.29186769832874937
26,22.874163083615684,13.346866381198762,5078.853107123728,505.91747106194117,2501.1753850559426,0.38758685799937725,0.7297121887465141,0.2812164681310195,0.5485642279782135,0.07842896383823898,0.2918216738576896
27,20.895033265186832,11.029830812186075,5076.998577349147,505.95185203042536,2500.832590697896,0.3802330772773691,0.6268323165958428,0.2763780188056743,0.47549767352843103,0.07842113059343016,0.29177745584858555
28,18.04487016957671,11.222613299917118,5075.473174914068,506.0342332686801,2500.522787101922,0.37281075441998357,0.5510254848374344,0.27201718550991044,0.4772347745608441,0.078437800610844,0.2917334195872986
29,19.648486672937462,11.799125335608169,5074.349808989794,506.0779711472618,2500.20116091818,0.36249348679157734,0.5894606427189123,0.2619875523656929,0.5284442902973256,0.0784417038997311,0.2916873278667497
30,17.971851158012033,12.103910181475749,5073.19684192522,506.09984602799574,2499.767913280007,0.3527464319915243,0.5145755615393901,0.25127666936294935,0.5423506344406448,0.07844423871068493,0.29162554865217316
31,19.15441237336055,11.386494138913045,5072.044603237293,506.1202461399124,2499.241675831535,0.34453796154859523,0.6137611818251966,0.24066896905544155,0.5511590139365798,0.0784531747452624,0.29155169975079404
32,17.48089398149809,10.764671267305355,5070.6566408337485,506.069512696401,2498.677164645814,0.3356803339659331,0.5574893379953454,0.2356546387617565,0.5703282561583738,0.07844104046849881,0.2914718100136145
33,19.814175859777233,10.440154587004473,5069.305499034295,506.0631915869438,2498.105438420764,0.32564769715620806,0.635023178030372,0.2312660855960409,0.5876691125653944,0.07843583982240146,0.29138991264020214
34,18.08802125066311,9.999040518898592,5068.049210553799,506.106020922946,2497.537486636378,0.3171422266023788,0.5724076217184044,0.23737848708516596,0.584375481089914,0.07843774328434822,0.2913086092959941
35,15.826656894627304,10.173767741777873,5066.954891725044,506.11063268974425,2497.00210744435,0.3095832182978842,0.5245046664058549,0.22059384511138533,0.5756020147932659,0.07843479567952913,0.29123219130849987
36,15.809804809378031,9.917651306926055,5065.9225074535525,506.1234499744989,2496.4577175112904,0.30164256243252024,0.4834311097627153,0.21685558533028565,0.5550914177855185,0.0784364745608137,0.29115503884450444
37,15.931037531607753,9.859182352228633,5065.127872080414,506.17927682502824,2495.8810568547683,0.2935738896584512,0.4973864572325288,0.20946318870204322,0.5379621052347769,0.07844345511280071,0.29107566273142355
38,15.130056277680461,9.466756770252747,5064.2128407475,506.17377193207096,2495.274744224174,0.2853310104194661,0.48235095979684894,0.20471228038395659,0.49063113429882754,0.07843734779136734,0.2909934138211491
39,14.160409468724794,9.033485932437193,5063.171430178024,506.13517524716855,2494.6825789780173,0.2784456564773584,0.44439655953239304,0.20992335952536906,0.4563268338004542,0.07842036955279519,0.2909163509392415
40,13.782923295758625,8.78786796949407,5062.173832145253,506.1003491277526,2494.1411277879406,0.2698433463620313,0.43986661121917414,0.19831951753898838,0.462696367400379,0.07840183673774528,0.29085054108023334
41,14.59782397644634,9.379832720546366,5061.338503748968,506.0654464138515,2493.6507197778524,0.25986719988538354,0.4272208771125904,0.19321238248533093,0.5056356642339899,0.07837961798140783,0.29079399096008784
42,13.219179869033216,9.877634339212426,5060.547617242754,506.02443464836995,2493.1789380679224,0.25165270679760154,0.44388003236826373,0.19083251486167344,0.5354538774466614,0.07835596924539556,0.29073910156486543
43,12.329225626684263,10.277786031527155,5059.8656867605805,505.9874830994301,2492.7182664381235,0.24491213409571946,0.42832681615431256,0.18782277175695236,0.543867338492833,0.07833510871129215,0.29068527368399705
44,13.153220032108358,10.049598209341374,5059.190804919235,505.93182377721763,2492.256104315838,0.2379468929918297,0.45026194263559965,0.1835911186690232,0.5436467089192839,0.07831285711407882,0.2906302651176281
45,11.692174584408454,9.678357319092243,5058.561820098964,505.8695071008048,2491.7952943664914,0.23142548523080111,0.3709877441915695,0.1822618525856096,0.5403615428621594,0.07828783587712884,0.2905739658595766
46,12.711833755968955,9.041357246360363,5057.897592735298,505.7986591014622,2491.334323342702,0.22508237722037308,0.42200304050080995,0.1784872872495634,0.5107954350185404,0.07826651775964207,0.2905169170475173
47,11.21238905874912,8.722414120972132,5057.1873661438,505.69318952853735,2490.9075331230606,0.21859497918828472,0.3992578347243457,0.17545278983397872,0.49327600165529684,0.07823333890999044,0.2904644303086437
48,10.992796045187598,8.805152887369438,5056.467855424206,505.57567637982856,2490.5354391688115,0.2129785655922028,0.37021160230964184,0.1720545072478875,0.4826317095230662,0.0782001259832621,0.29041906356290736
