Tariff name,Mean electricity price [CHF/kWh],Standard deviation [CHF/kWh]
Spot,0.10425333334474886,0.03924277364452951
Vario Grid,0.04508357734018266,0.06527798417023095
Vario Plus,0.29691518883181134,0.07532234897210276
DT Plus,0.3112333333333333,0.05107548879409337
BKW Green,0.12871666666666667,0.014888800787467368
BKW Blue,0.10181666666666671,0.014888800787467368
BKW Grey,0.09105833333333331,0.014839500122608205
