Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
1,0,0,0,0,0,6.1
2,0,0,0,0,0,5.7
3,0,0,0,0,0,5.3
4,0,0,0,0,0,5.2
5,0,0,0,0,0,5
6,0,0,0,0,0,4.8
7,0,0,0,0,0,4.6
8,0,0,0,0,0,4.5
9,0,0,0,0,0,4.6
10,0.008,0.008,0.006,0.006,0.008,6.1
11,0.018,0.017,0.015,0.016,0.017,7.2
12,0.024,0.023,0.021,0.022,0.022,8.1
13,0.039,0.036,0.036,0.036,0.036,8.6
14,0.054,0.049,0.051,0.049,0.05,8.8
15,0.053,0.047,0.052,0.047,0.051,8.7
16,0.034,0.029,0.037,0.029,0.038,8.1
17,0.011,0.01,0.01,0.01,0.01,7.3
18,0.001,0.001,0.001,0.001,0.001,7.2
19,0,0,0,0,0,7.1
20,0,0,0,0,0,7
21,0,0,0,0,0,6.8
22,0,0,0,0,0,6.7
23,0,0,0,0,0,6.5
24,0,0,0,0,0,6.4
25,0,0,0,0,0,6.3
26,0,0,0,0,0,6.4
27,0,0,0,0,0,6.4
28,0,0,0,0,0,6.4
29,0,0,0,0,0,6.4
30,0,0,0,0,0,6.5
31,0,0,0,0,0,6.5
32,0,0,0,0,0,6.5
33,0,0,0,0,0,6.7
34,0.006,0.006,0.005,0.005,0.006,7.7
35,0.018,0.017,0.015,0.016,0.017,8.5
36,0.033,0.031,0.028,0.03,0.03,9
37,0.048,0.045,0.043,0.044,0.044,9.5
38,0.053,0.047,0.051,0.048,0.05,9.7
39,0.043,0.038,0.041,0.038,0.041,9.7
40,0.029,0.026,0.029,0.026,0.029,9.3
41,0.013,0.012,0.012,0.012,0.012,8.9
42,0.002,0.002,0.002,0.002,0.002,8.7
43,0,0,0,0,0,8.5
44,0,0,0,0,0,8.3
45,0,0,0,0,0,8.1
46,0,0,0,0,0,8
47,0,0,0,0,0,7.8
48,0,0,0,0,0,7.6
49,0,0,0,0,0,7.3
50,0,0,0,0,0,7.1
51,0,0,0,0,0,6.7
52,0,0,0,0,0,6.6
53,0,0,0,0,0,6.4
54,0,0,0,0,0,6.3
55,0,0,0,0,0,6.2
56,0,0,0,0,0,6.1
57,0,0,0,0,0,6.2
58,0.051,0.025,0.1,0.086,0.025,6.9
59,0.142,0.05,0.285,0.197,0.071,7.5
60,0.213,0.058,0.428,0.232,0.165,8
61,0.247,0.066,0.495,0.2,0.259,8.4
62,0.227,0.074,0.452,0.12,0.302,8.7
63,0.173,0.069,0.364,0.069,0.299,8.8
64,0.09,0.052,0.209,0.052,0.216,8.5
65,0.032,0.03,0.03,0.03,0.03,8
66,0.005,0.005,0.005,0.005,0.005,7.7
67,0,0,0,0,0,7.5
68,0,0,0,0,0,7.2
69,0,0,0,0,0,7
70,0,0,0,0,0,6.7
71,0,0,0,0,0,6.5
72,0,0,0,0,0,6.2
73,0,0,0,0,0,6.1
74,0,0,0,0,0,5.9
75,0,0,0,0,0,5.6
76,0,0,0,0,0,5.2
77,0,0,0,0,0,5.3
78,0,0,0,0,0,5.4
79,0,0,0,0,0,5.3
80,0,0,0,0,0,5.3
81,0,0,0,0,0,5.3
82,0.041,0.024,0.074,0.064,0.024,5.9
83,0.113,0.055,0.198,0.145,0.068,6.3
84,0.164,0.082,0.27,0.171,0.136,6.6
85,0.188,0.102,0.29,0.161,0.186,6.8
86,0.183,0.099,0.293,0.123,0.216,7.1
87,0.146,0.088,0.236,0.088,0.203,7.2
88,0.099,0.058,0.215,0.058,0.222,7
89,0.035,0.033,0.033,0.033,0.033,6.6
90,0.006,0.006,0.006,0.006,0.006,6.4
91,0,0,0,0,0,6.2
92,0,0,0,0,0,5.8
93,0,0,0,0,0,5.5
94,0,0,0,0,0,5.3
95,0,0,0,0,0,5
96,0,0,0,0,0,4.7
97,0,0,0,0,0,4.4
98,0,0,0,0,0,4
99,0,0,0,0,0,3.6
100,0,0,0,0,0,3.5
101,0,0,0,0,0,3.4
102,0,0,0,0,0,3.2
103,0,0,0,0,0,3
104,0,0,0,0,0,2.9
105,0,0,0,0,0,3.1
106,0.049,0.029,0.086,0.075,0.029,4.8
107,0.126,0.065,0.213,0.159,0.079,6.3
108,0.193,0.083,0.334,0.203,0.156,7.8
109,0.228,0.097,0.395,0.192,0.231,8.8
110,0.22,0.101,0.383,0.137,0.271,9.2
111,0.184,0.086,0.351,0.086,0.292,9
112,0.114,0.063,0.264,0.063,0.272,8.2
113,0.039,0.037,0.037,0.037,0.037,7.2
114,0.007,0.007,0.007,0.007,0.007,6.9
115,0,0,0,0,0,6.6
116,0,0,0,0,0,6.4
117,0,0,0,0,0,6.2
118,0,0,0,0,0,5.9
119,0,0,0,0,0,5.7
120,0,0,0,0,0,5.4
121,0,0,0,0,0,5.2
122,0,0,0,0,0,4.9
123,0,0,0,0,0,4.6
124,0,0,0,0,0,4.1
125,0,0,0,0,0,4.4
126,0,0,0,0,0,4.4
127,0,0,0,0,0,4.3
128,0,0,0,0,0,4.2
129,0,0,0,0,0,4.2
130,0.032,0.028,0.033,0.032,0.028,4.6
131,0.085,0.069,0.095,0.086,0.071,5
132,0.125,0.095,0.149,0.121,0.111,5.3
133,0.152,0.109,0.189,0.135,0.145,5.5
134,0.161,0.111,0.213,0.124,0.172,5.6
135,0.149,0.092,0.236,0.092,0.204,5.6
136,0.102,0.061,0.215,0.061,0.221,5.5
137,0.037,0.035,0.035,0.035,0.035,5.2
138,0.004,0.004,0.004,0.004,0.004,5
139,0,0,0,0,0,4.9
140,0,0,0,0,0,4.7
141,0,0,0,0,0,4.5
142,0,0,0,0,0,4.4
143,0,0,0,0,0,4
144,0,0,0,0,0,3.9
145,0,0,0,0,0,3.5
146,0,0,0,0,0,3.8
147,0,0,0,0,0,3.7
148,0,0,0,0,0,3.5
149,0,0,0,0,0,3.5
150,0,0,0,0,0,3.5
151,0,0,0,0,0,3.5
152,0,0,0,0,0,3.5
153,0,0,0,0,0,3.5
154,0.047,0.028,0.082,0.072,0.028,4.4
155,0.128,0.075,0.197,0.152,0.086,5
156,0.189,0.108,0.282,0.192,0.158,5.4
157,0.226,0.123,0.345,0.195,0.223,5.6
158,0.221,0.125,0.34,0.154,0.255,5.8
159,0.177,0.104,0.286,0.104,0.246,5.8
160,0.108,0.063,0.227,0.063,0.233,5.6
161,0.046,0.044,0.044,0.044,0.044,5.2
162,0.01,0.01,0.01,0.01,0.01,5.1
163,0,0,0,0,0,4.9
164,0,0,0,0,0,4.8
165,0,0,0,0,0,4.6
166,0,0,0,0,0,4.4
167,0,0,0,0,0,4.4
168,0,0,0,0,0,4.2
169,0,0,0,0,0,4.1
170,0,0,0,0,0,3.9
171,0,0,0,0,0,3.9
172,0,0,0,0,0,3.9
173,0,0,0,0,0,3.8
174,0,0,0,0,0,3.8
175,0,0,0,0,0,3.8
176,0,0,0,0,0,3.8
177,0,0,0,0,0,4
178,0.06,0.023,0.134,0.114,0.023,4.3
179,0.159,0.06,0.307,0.217,0.082,4.5
180,0.218,0.096,0.372,0.229,0.176,4.8
181,0.248,0.115,0.411,0.212,0.249,5
182,0.229,0.122,0.362,0.155,0.267,6.6
183,0.172,0.101,0.278,0.101,0.239,7.5
184,0.103,0.062,0.203,0.062,0.208,7.7
185,0.043,0.041,0.041,0.041,0.041,7.2
186,0.008,0.008,0.008,0.008,0.008,6.7
187,0,0,0,0,0,6.3
188,0,0,0,0,0,5.9
189,0,0,0,0,0,5.4
190,0,0,0,0,0,5.1
191,0,0,0,0,0,4.6
192,0,0,0,0,0,4.2
193,0,0,0,0,0,3.2
194,0,0,0,0,0,2
195,0,0,0,0,0,0.8
196,0,0,0,0,0,0.2
197,0,0,0,0,0,-0.4
198,0,0,0,0,0,-1.1
199,0,0,0,0,0,-1.4
200,0,0,0,0,0,-1.9
201,0,0,0,0,0,-1.8
202,0.032,0.017,0.059,0.051,0.017,0.1
203,0.101,0.05,0.174,0.129,0.061,1.8
204,0.181,0.084,0.303,0.191,0.148,3.2
205,0.261,0.091,0.482,0.22,0.268,4.2
206,0.276,0.089,0.537,0.153,0.36,4.6
207,0.22,0.076,0.463,0.076,0.378,4.7
208,0.132,0.058,0.336,0.058,0.346,4.1
209,0.037,0.035,0.035,0.035,0.035,2.7
210,0.009,0.009,0.009,0.009,0.009,2
211,0,0,0,0,0,1.2
212,0,0,0,0,0,0.5
213,0,0,0,0,0,-0.3
214,0,0,0,0,0,-1.1
215,0,0,0,0,0,-1.9
216,0,0,0,0,0,-2.7
217,0,0,0,0,0,-3
218,0,0,0,0,0,-3.4
219,0,0,0,0,0,-3.9
220,0,0,0,0,0,-4
221,0,0,0,0,0,-4.2
222,0,0,0,0,0,-4.4
223,0,0,0,0,0,-4.5
224,0,0,0,0,0,-4.6
225,0,0,0,0,0,-4.3
226,0.066,0.025,0.145,0.125,0.025,-1.2
227,0.186,0.056,0.376,0.262,0.086,1.5
228,0.276,0.076,0.537,0.301,0.21,3.7
229,0.328,0.077,0.657,0.27,0.339,5.3
230,0.316,0.068,0.663,0.156,0.429,6.3
231,0.244,0.066,0.548,0.066,0.442,6.4
232,0.138,0.062,0.343,0.062,0.354,5.6
233,0.037,0.035,0.035,0.035,0.035,3.7
234,0.009,0.009,0.009,0.009,0.009,3.1
235,0,0,0,0,0,2.5
236,0,0,0,0,0,1.7
237,0,0,0,0,0,1.1
238,0,0,0,0,0,0.5
239,0,0,0,0,0,-0.2
240,0,0,0,0,0,-0.8
241,0,0,0,0,0,-1.5
242,0,0,0,0,0,-2.3
243,0,0,0,0,0,-3.1
244,0,0,0,0,0,-3.6
245,0,0,0,0,0,-4
246,0,0,0,0,0,-4.5
247,0,0,0,0,0,-4.8
248,0,0,0,0,0,-5.1
249,0,0,0,0,0,-4.9
250,0.079,0.021,0.19,0.162,0.021,-3
251,0.22,0.046,0.475,0.323,0.086,-1.1
252,0.29,0.06,0.593,0.322,0.216,0.6
253,0.301,0.07,0.604,0.249,0.312,1.7
254,0.266,0.07,0.543,0.141,0.356,2.5
255,0.192,0.064,0.404,0.064,0.329,2.6
256,0.091,0.048,0.2,0.048,0.205,2
257,0.025,0.024,0.024,0.024,0.024,0.5
258,0.004,0.004,0.004,0.004,0.004,0
259,0,0,0,0,0,-0.4
260,0,0,0,0,0,-1
261,0,0,0,0,0,-1.4
262,0,0,0,0,0,-1.9
263,0,0,0,0,0,-2.3
264,0,0,0,0,0,-2.9
265,0,0,0,0,0,-3
266,0,0,0,0,0,-3.2
267,0,0,0,0,0,-3.4
268,0,0,0,0,0,-3.5
269,0,0,0,0,0,-3.6
270,0,0,0,0,0,-3.7
271,0,0,0,0,0,-3.8
272,0,0,0,0,0,-3.9
273,0,0,0,0,0,-3.8
274,0.033,0.014,0.071,0.061,0.014,-3.1
275,0.099,0.051,0.165,0.125,0.062,-2.7
276,0.175,0.084,0.286,0.184,0.143,-2.2
277,0.214,0.099,0.351,0.185,0.214,-1.9
278,0.211,0.097,0.358,0.138,0.255,-1.6
279,0.175,0.079,0.326,0.079,0.272,-1.6
280,0.104,0.057,0.222,0.057,0.228,-1.8
281,0.039,0.037,0.037,0.037,0.037,-2.2
282,0.009,0.009,0.009,0.009,0.009,-2.3
283,0,0,0,0,0,-2.5
284,0,0,0,0,0,-2.9
285,0,0,0,0,0,-2.7
286,0,0,0,0,0,-2.9
287,0,0,0,0,0,-3
288,0,0,0,0,0,-3
289,0,0,0,0,0,-3.2
290,0,0,0,0,0,-3.5
291,0,0,0,0,0,-3.2
292,0,0,0,0,0,-3.3
293,0,0,0,0,0,-3.3
294,0,0,0,0,0,-3.3
295,0,0,0,0,0,-3.3
296,0,0,0,0,0,-3.3
297,0,0,0,0,0,-3.1
298,0.017,0.016,0.014,0.015,0.016,-2.5
299,0.042,0.039,0.038,0.038,0.039,-1.8
300,0.07,0.061,0.069,0.065,0.063,-1.2
301,0.096,0.074,0.111,0.087,0.091,-0.6
302,0.11,0.081,0.133,0.09,0.113,-0.3
303,0.112,0.082,0.144,0.082,0.13,-0.4
304,0.095,0.062,0.166,0.062,0.17,-0.7
305,0.042,0.04,0.04,0.04,0.04,-1.1
306,0.01,0.01,0.01,0.01,0.01,-1.4
307,0,0,0,0,0,-1.7
308,0,0,0,0,0,-2
309,0,0,0,0,0,-2.2
310,0,0,0,0,0,-2.6
311,0,0,0,0,0,-2.8
312,0,0,0,0,0,-3
313,0,0,0,0,0,-3.5
314,0,0,0,0,0,-4
315,0,0,0,0,0,-4.5
316,0,0,0,0,0,-4.8
317,0,0,0,0,0,-5
318,0,0,0,0,0,-5.3
319,0,0,0,0,0,-5.5
320,0,0,0,0,0,-5.7
321,0,0,0,0,0,-5.4
322,0.012,0.012,0.01,0.01,0.012,-4.1
323,0.035,0.032,0.032,0.032,0.032,-3
324,0.069,0.06,0.067,0.063,0.062,-1.3
325,0.078,0.064,0.084,0.071,0.073,-0.7
326,0.075,0.065,0.074,0.066,0.07,-1.4
327,0.07,0.062,0.068,0.062,0.067,-1.7
328,0.053,0.044,0.06,0.044,0.06,-2.1
329,0.026,0.025,0.025,0.025,0.025,-3
330,0.005,0.005,0.005,0.005,0.005,-3.2
331,0,0,0,0,0,-3.5
332,0,0,0,0,0,-3.8
333,0,0,0,0,0,-3.9
334,0,0,0,0,0,-4.2
335,0,0,0,0,0,-4.5
336,0,0,0,0,0,-4.8
337,0,0,0,0,0,-4.8
338,0,0,0,0,0,-4.9
339,0,0,0,0,0,-4.9
340,0,0,0,0,0,-5
341,0,0,0,0,0,-5
342,0,0,0,0,0,-5
343,0,0,0,0,0,-5
344,0,0,0,0,0,-5
345,0,0,0,0,0,-4.6
346,0.041,0.027,0.062,0.056,0.027,-1.3
347,0.099,0.063,0.141,0.115,0.071,1.6
348,0.139,0.096,0.176,0.136,0.12,4
349,0.196,0.108,0.29,0.171,0.191,5.7
350,0.219,0.1,0.368,0.145,0.264,6.7
351,0.181,0.084,0.326,0.084,0.274,6.9
352,0.118,0.06,0.252,0.06,0.259,6.2
353,0.038,0.036,0.036,0.036,0.036,4.2
354,0.009,0.009,0.009,0.009,0.009,3.9
355,0,0,0,0,0,3.7
356,0,0,0,0,0,3.5
357,0,0,0,0,0,3.3
358,0,0,0,0,0,3
359,0,0,0,0,0,2.7
360,0,0,0,0,0,2.6
361,0,0,0,0,0,2.2
362,0,0,0,0,0,1.8
363,0,0,0,0,0,1.5
364,0,0,0,0,0,1.3
365,0,0,0,0,0,1.1
366,0,0,0,0,0,0.9
367,0,0,0,0,0,0.8
368,0,0,0,0,0,0.7
369,0,0,0,0,0,0.8
370,0.04,0.024,0.068,0.062,0.024,1.1
371,0.103,0.061,0.152,0.121,0.07,1.4
372,0.174,0.084,0.281,0.184,0.143,1.5
373,0.245,0.101,0.412,0.21,0.244,1.6
374,0.267,0.085,0.501,0.156,0.34,3.3
375,0.233,0.072,0.485,0.072,0.397,4.1
376,0.144,0.057,0.346,0.057,0.357,4.4
377,0.018,0.017,0.086,0.017,0.127,3.7
378,0.011,0.01,0.01,0.01,0.01,3.5
379,0,0,0,0,0,3.1
380,0,0,0,0,0,2.8
381,0,0,0,0,0,2.5
382,0,0,0,0,0,2.2
383,0,0,0,0,0,1.9
384,0,0,0,0,0,1.6
385,0,0,0,0,0,1.3
386,0,0,0,0,0,1
387,0,0,0,0,0,0.7
388,0,0,0,0,0,0.6
389,0,0,0,0,0,0.4
390,0,0,0,0,0,0.3
391,0,0,0,0,0,0.2
392,0,0,0,0,0,0.1
393,0,0,0,0,0,0.2
394,0.057,0.03,0.1,0.09,0.03,0.5
395,0.147,0.066,0.251,0.189,0.085,0.7
396,0.232,0.08,0.42,0.253,0.182,0.8
397,0.293,0.08,0.549,0.247,0.296,0.8
398,0.285,0.076,0.558,0.16,0.372,2.5
399,0.234,0.073,0.483,0.073,0.396,3.3
400,0.142,0.061,0.329,0.061,0.34,3.5
401,0.073,0.059,0.102,0.059,0.161,2.9
402,0.011,0.01,0.01,0.01,0.01,2.6
403,0,0,0,0,0,2.3
404,0,0,0,0,0,1.9
405,0,0,0,0,0,1.6
406,0,0,0,0,0,1.3
407,0,0,0,0,0,0.9
408,0,0,0,0,0,0.7
409,0,0,0,0,0,0.3
410,0,0,0,0,0,-0.1
411,0,0,0,0,0,-0.4
412,0,0,0,0,0,-0.6
413,0,0,0,0,0,-0.7
414,0,0,0,0,0,-0.9
415,0,0,0,0,0,-1
416,0,0,0,0,0,-1.1
417,0,0,0,0,0,-0.9
418,0.059,0.024,0.121,0.108,0.024,0.9
419,0.167,0.053,0.322,0.233,0.081,2.7
420,0.261,0.067,0.496,0.287,0.197,4.4
421,0.322,0.065,0.635,0.269,0.328,5.4
422,0.31,0.066,0.624,0.166,0.409,5.9
423,0.248,0.067,0.522,0.067,0.426,5.9
424,0.151,0.06,0.352,0.06,0.364,5
425,0.079,0.063,0.108,0.063,0.17,3.9
426,0.012,0.011,0.011,0.011,0.011,3.4
427,0,0,0,0,0,2.7
428,0,0,0,0,0,2.2
429,0,0,0,0,0,1.6
430,0,0,0,0,0,1
431,0,0,0,0,0,0.5
432,0,0,0,0,0,-0.1
433,0,0,0,0,0,-0.7
434,0,0,0,0,0,-1.5
435,0,0,0,0,0,-2.7
436,0,0,0,0,0,-2.7
437,0,0,0,0,0,-3.2
438,0,0,0,0,0,-3.6
439,0,0,0,0,0,-4
440,0,0,0,0,0,-4.2
441,0,0,0,0,0,-4.3
442,0.058,0.032,0.099,0.09,0.032,-4.1
443,0.16,0.071,0.271,0.205,0.092,-3.9
444,0.244,0.083,0.438,0.266,0.191,-3.9
445,0.305,0.08,0.569,0.257,0.307,-3.9
446,0.306,0.077,0.597,0.173,0.398,-3.9
447,0.244,0.072,0.495,0.072,0.406,-4
448,0.149,0.064,0.329,0.064,0.34,-4.2
449,0.065,0.049,0.097,0.049,0.14,-4.5
450,0.013,0.012,0.012,0.012,0.012,-4.5
451,0,0,0,0,0,-4.6
452,0,0,0,0,0,-4.6
453,0,0,0,0,0,-4.7
454,0,0,0,0,0,-4.7
455,0,0,0,0,0,-4.7
456,0,0,0,0,0,-4.8
457,0,0,0,0,0,-4.4
458,0,0,0,0,0,-4
459,0,0,0,0,0,-3.7
460,0,0,0,0,0,-3.4
461,0,0,0,0,0,-3.2
462,0,0,0,0,0,-3
463,0,0,0,0,0,-2.9
464,0,0,0,0,0,-2.7
465,0,0,0,0,0,-2.5
466,0.041,0.035,0.043,0.042,0.035,-1.4
467,0.092,0.067,0.111,0.097,0.072,0.1
468,0.114,0.075,0.152,0.115,0.099,0.9
469,0.111,0.08,0.133,0.1,0.105,1.6
470,0.117,0.088,0.139,0.097,0.119,2.1
471,0.119,0.086,0.151,0.086,0.138,2.2
472,0.093,0.062,0.146,0.062,0.149,1.9
473,0.025,0.015,0.14,0.015,0.213,1.4
474,0.013,0.012,0.012,0.012,0.012,0.7
475,0,0,0,0,0,1.1
476,0,0,0,0,0,1.5
477,0,0,0,0,0,2
478,0,0,0,0,0,2.5
479,0,0,0,0,0,2.9
480,0,0,0,0,0,3.4
481,0,0,0,0,0,3.2
482,0,0,0,0,0,3
483,0,0,0,0,0,2.8
484,0,0,0,0,0,2.8
485,0,0,0,0,0,2.6
486,0,0,0,0,0,2.6
487,0,0,0,0,0,2.6
488,0,0,0,0,0,2.6
489,0,0,0,0,0,2.6
490,0.047,0.032,0.066,0.062,0.032,2.8
491,0.134,0.057,0.229,0.174,0.077,2.9
492,0.241,0.07,0.441,0.264,0.185,3.1
493,0.309,0.075,0.584,0.263,0.313,3.1
494,0.291,0.076,0.552,0.167,0.371,3.1
495,0.213,0.091,0.379,0.091,0.319,3.1
496,0.126,0.077,0.215,0.077,0.22,3.1
497,0.016,0.004,0.184,0.004,0.288,2.9
498,0.013,0.012,0.012,0.012,0.012,2.7
499,0,0,0,0,0,2.6
500,0,0,0,0,0,2.6
501,0,0,0,0,0,2.1
502,0,0,0,0,0,2.2
503,0,0,0,0,0,2.3
504,0,0,0,0,0,1.3
505,0,0,0,0,0,2.4
506,0,0,0,0,0,1.8
507,0,0,0,0,0,2.3
508,0,0,0,0,0,2.6
509,0,0,0,0,0,2.6
510,0,0,0,0,0,2.6
511,0,0,0,0,0,2.6
512,0,0,0,0,0,2.6
513,0,0,0,0,0,2.7
514,0.013,0.013,0.011,0.011,0.013,3.1
515,0.03,0.029,0.026,0.027,0.028,3.4
516,0.048,0.045,0.043,0.044,0.045,3.8
517,0.061,0.057,0.055,0.056,0.056,4.1
518,0.068,0.062,0.062,0.062,0.062,4.3
519,0.081,0.069,0.082,0.069,0.079,4.3
520,0.086,0.064,0.114,0.064,0.116,4.2
521,0.028,0.015,0.141,0.015,0.214,3.9
522,0.011,0.01,0.01,0.01,0.01,3.7
523,0,0,0,0,0,3.6
524,0,0,0,0,0,3.5
525,0,0,0,0,0,3.3
526,0,0,0,0,0,3.2
527,0,0,0,0,0,3
528,0,0,0,0,0,2.8
529,0,0,0,0,0,2.4
530,0,0,0,0,0,1.7
531,0,0,0,0,0,1.2
532,0,0,0,0,0,0.9
533,0,0,0,0,0,0.7
534,0,0,0,0,0,0.4
535,0,0,0,0,0,0.1
536,0,0,0,0,0,-0.1
537,0,0,0,0,0,0.4
538,0.03,0.028,0.026,0.026,0.028,2
539,0.067,0.06,0.064,0.062,0.06,3.8
540,0.116,0.098,0.116,0.108,0.104,4.9
541,0.169,0.115,0.211,0.151,0.16,5.6
542,0.193,0.111,0.277,0.144,0.214,5.9
543,0.174,0.101,0.26,0.101,0.227,5.3
544,0.123,0.076,0.201,0.076,0.207,4.7
545,0.035,0.014,0.187,0.014,0.287,3.6
546,0.018,0.017,0.017,0.017,0.017,2.8
547,0,0,0,0,0,2.6
548,0,0,0,0,0,2.5
549,0,0,0,0,0,2.3
550,0,0,0,0,0,2.1
551,0,0,0,0,0,1.9
552,0,0,0,0,0,1.7
553,0,0,0,0,0,1.6
554,0,0,0,0,0,1.6
555,0,0,0,0,0,1.6
556,0,0,0,0,0,1.6
557,0,0,0,0,0,1.6
558,0,0,0,0,0,1.6
559,0,0,0,0,0,1.6
560,0,0,0,0,0,1.7
561,0,0,0,0,0,2.1
562,0.07,0.027,0.138,0.125,0.027,2.4
563,0.188,0.055,0.353,0.261,0.091,3.2
564,0.258,0.084,0.455,0.282,0.201,4.7
565,0.248,0.105,0.4,0.217,0.245,5.6
566,0.177,0.097,0.258,0.13,0.198,6.6
567,0.11,0.079,0.138,0.079,0.126,7.2
568,0.06,0.048,0.071,0.048,0.072,7.5
569,0.022,0.018,0.037,0.018,0.048,7
570,0.007,0.007,0.007,0.007,0.007,6.2
571,0,0,0,0,0,5.7
572,0,0,0,0,0,5.3
573,0,0,0,0,0,4.8
574,0,0,0,0,0,4.4
575,0,0,0,0,0,3.9
576,0,0,0,0,0,3.5
577,0,0,0,0,0,2.8
578,0,0,0,0,0,2.1
579,0,0,0,0,0,1.5
580,0,0,0,0,0,1.1
581,0,0,0,0,0,0.7
582,0,0,0,0,0,0.4
583,0,0,0,0,0,0.2
584,0,0,0,0,0,-0.1
585,0,0,0,0,0,0.6
586,0.034,0.028,0.037,0.036,0.028,4
587,0.081,0.064,0.091,0.083,0.067,6.9
588,0.155,0.087,0.221,0.159,0.13,9.3
589,0.228,0.098,0.364,0.2,0.225,11
590,0.223,0.1,0.357,0.154,0.261,12
591,0.178,0.079,0.302,0.079,0.258,12.3
592,0.106,0.058,0.19,0.058,0.196,11.6
593,0.036,0.025,0.101,0.025,0.146,10
594,0.014,0.013,0.013,0.013,0.013,8
595,0,0,0,0,0,7.3
596,0,0,0,0,0,6.7
597,0,0,0,0,0,6.1
598,0,0,0,0,0,5.4
599,0,0,0,0,0,4.8
600,0,0,0,0,0,4.1
601,0,0,0,0,0,3.5
602,0,0,0,0,0,2.9
603,0,0,0,0,0,2.3
604,0,0,0,0,0,1.9
605,0,0,0,0,0,1.6
606,0,0,0,0,0,1.3
607,0,0,0,0,0,1
608,0,0,0,0,0,0.8
609,0,0,0,0,0,1.3
610,0.057,0.039,0.077,0.073,0.039,3.9
611,0.133,0.082,0.185,0.154,0.095,5.5
612,0.151,0.103,0.187,0.148,0.13,7.1
613,0.144,0.107,0.168,0.131,0.136,7.2
614,0.136,0.102,0.159,0.114,0.138,6.6
615,0.102,0.078,0.119,0.078,0.111,6.3
616,0.068,0.053,0.084,0.053,0.086,6.1
617,0.027,0.022,0.044,0.022,0.057,5.1
618,0.007,0.007,0.007,0.007,0.007,4.1
619,0,0,0,0,0,3.8
620,0,0,0,0,0,3.5
621,0,0,0,0,0,3.3
622,0,0,0,0,0,3
623,0,0,0,0,0,2.7
624,0,0,0,0,0,2.5
625,0,0,0,0,0,2.4
626,0,0,0,0,0,2.4
627,0,0,0,0,0,2.3
628,0,0,0,0,0,2.3
629,0,0,0,0,0,2.3
630,0,0,0,0,0,2.2
631,0,0,0,0,0,2.3
632,0,0,0,0,0,2.3
633,0,0,0,0,0,2.5
634,0.037,0.017,0.064,0.059,0.017,2.7
635,0.091,0.042,0.147,0.115,0.056,3
636,0.119,0.068,0.167,0.122,0.1,3.3
637,0.124,0.077,0.166,0.112,0.12,3.5
638,0.111,0.068,0.152,0.087,0.121,5.5
639,0.086,0.052,0.123,0.052,0.109,6.6
640,0.059,0.041,0.084,0.041,0.087,6.9
641,0.029,0.022,0.056,0.022,0.076,6.5
642,0.008,0.008,0.008,0.008,0.008,5.9
643,0,0,0,0,0,5.9
644,0,0,0,0,0,5.9
645,0,0,0,0,0,5.9
646,0,0,0,0,0,6
647,0,0,0,0,0,6
648,0,0,0,0,0,6
649,0,0,0,0,0,5.9
650,0,0,0,0,0,5.8
651,0,0,0,0,0,5.5
652,0,0,0,0,0,5
653,0,0,0,0,0,5.5
654,0,0,0,0,0,5.5
655,0,0,0,0,0,5.6
656,0,0,0,0,0,5.6
657,0,0,0,0,0,5.7
658,0.055,0.038,0.074,0.07,0.038,6.2
659,0.129,0.084,0.172,0.146,0.096,6.3
660,0.203,0.119,0.278,0.206,0.171,6.7
661,0.272,0.12,0.423,0.24,0.267,6.9
662,0.281,0.114,0.455,0.19,0.331,7
663,0.248,0.101,0.423,0.101,0.361,7
664,0.179,0.079,0.343,0.079,0.358,7
665,0.071,0.043,0.194,0.043,0.28,6.8
666,0.024,0.023,0.023,0.023,0.023,6.5
667,0.001,0.001,0.001,0.001,0.001,6.4
668,0,0,0,0,0,6.3
669,0,0,0,0,0,6.3
670,0,0,0,0,0,6.2
671,0,0,0,0,0,6
672,0,0,0,0,0,5.7
673,0,0,0,0,0,6
674,0,0,0,0,0,5.9
675,0,0,0,0,0,5.9
676,0,0,0,0,0,5.9
677,0,0,0,0,0,5.9
678,0,0,0,0,0,6
679,0,0,0,0,0,6
680,0,0,0,0,0,6
681,0,0,0,0,0,6.3
682,0.103,0.032,0.203,0.186,0.032,7.2
683,0.241,0.049,0.465,0.343,0.106,7.3
684,0.348,0.053,0.662,0.387,0.253,7.8
685,0.385,0.057,0.728,0.324,0.383,8.3
686,0.364,0.06,0.698,0.204,0.466,10.8
687,0.294,0.064,0.581,0.064,0.483,12
688,0.19,0.068,0.395,0.068,0.414,12.4
689,0.078,0.05,0.176,0.05,0.249,12
690,0.021,0.02,0.02,0.02,0.02,11.1
691,0.001,0.001,0.001,0.001,0.001,10.8
692,0,0,0,0,0,10.5
693,0,0,0,0,0,10.2
694,0,0,0,0,0,10
695,0,0,0,0,0,9.7
696,0,0,0,0,0,9.4
697,0,0,0,0,0,8.9
698,0,0,0,0,0,8.4
699,0,0,0,0,0,8
700,0,0,0,0,0,7.8
701,0,0,0,0,0,7.6
702,0,0,0,0,0,7.4
703,0,0,0,0,0,7.3
704,0,0,0,0,0,7.2
705,0,0,0,0,0,7.4
706,0.145,0.026,0.311,0.284,0.026,8.1
