Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
2517,0,0,0,0,0,17.3
2518,0,0,0,0,0,15.9
2519,0,0,0,0,0,14.6
2520,0,0,0,0,0,13.3
2521,0,0,0,0,0,12.1
2522,0,0,0,0,0,10.6
2523,0,0,0,0,0,9.8
2524,0,0,0,0,0,9.1
2525,0,0,0,0,0,8.6
2526,0,0,0,0,0,8.4
2527,0.047,0.046,0.043,0.116,0.016,9.6
2528,0.183,0.14,0.204,0.353,0.038,11.5
2529,0.361,0.239,0.429,0.563,0.106,13.5
2530,0.477,0.301,0.584,0.628,0.257,15.4
2531,0.527,0.329,0.646,0.595,0.38,17.2
2532,0.575,0.361,0.704,0.569,0.497,18.6
2533,0.484,0.33,0.567,0.423,0.474,19.8
2534,0.358,0.282,0.378,0.297,0.363,20.5
2535,0.313,0.255,0.322,0.244,0.333,20.9
2536,0.276,0.229,0.28,0.192,0.317,20.8
2537,0.234,0.198,0.231,0.144,0.311,20.1
2538,0.159,0.149,0.142,0.098,0.27,19.1
2539,0.057,0.118,0.027,0.027,0.352,17.6
2540,0.022,0.021,0.021,0.021,0.021,16.2
2541,0.001,0.001,0.001,0.001,0.001,15.5
2542,0,0,0,0,0,14.9
2543,0,0,0,0,0,14.2
2544,0,0,0,0,0,13.6
2545,0,0,0,0,0,13.7
2546,0,0,0,0,0,13.8
2547,0,0,0,0,0,13.9
2548,0,0,0,0,0,14
2549,0,0,0,0,0,14.1
2550,0,0,0,0,0,14.2
2551,0.03,0.029,0.028,0.047,0.021,14.3
2552,0.105,0.091,0.106,0.142,0.066,14.7
2553,0.225,0.179,0.239,0.282,0.136,16.7
2554,0.343,0.257,0.377,0.396,0.239,17.7
2555,0.408,0.302,0.454,0.43,0.326,18.7
2556,0.461,0.335,0.517,0.445,0.407,21.1
2557,0.545,0.374,0.635,0.475,0.533,22
2558,0.588,0.4,0.684,0.443,0.641,21.5
2559,0.536,0.37,0.616,0.329,0.657,21.3
2560,0.429,0.312,0.478,0.188,0.602,20.6
2561,0.305,0.248,0.316,0.128,0.49,19.9
