,Scenario,PV,BES,TES,EL,FC
0,11,746.3796054623507,386.8147213952694,-0.19430340208249,50.08893403491723,50.30345115339444
1,14,940.0645166599812,382.6579548636995,-0.191321467825522,50.68432156330285,50.3193941593636
2,18,1185.5662170846615,382.6341994236709,-0.1820021363343887,52.45642573034662,50.36471293665237
3,20,1303.3783655375146,384.6178532914481,-0.1790763341084432,53.73400624646845,50.39567184006738
4,30,1854.341060207732,409.90101673801064,-0.1474371649703243,62.936261750488,50.61676267134998
5,40,2346.604411736412,441.1729797155567,-0.1085199293641683,78.74111153744163,50.9065853982902
6,50,2794.9722069555264,468.8508144250158,-0.0591122720283843,101.70297547517404,51.36777617632277
7,60,3204.7283363223455,492.6651306643675,-0.0411397349079682,131.34071375620357,51.31651643461472
