,Total Cost,Heat Value,Electricity Value
PV,1260.7079991126627,0.00039058984140916695,0.01578094817826808
BES,307.04300974642297,-0.000703262668216767,0.00028686099176120886
TES,-0.07009131700906435,-0.00015065611939447607,-2.200719451398344e-06
EL,10.449747349985406,-1.8491566469720316e-05,-5.1395440836840554e-05
FC,4848.863768746927,0.04849402049511627,0.18281840547325356
