Iteration,Norm1PrimalResidualHeat,Norm1PrimalResidualElec,Cost,HeatValue,ElecValue,Norm2DualResidualHeat,Norm2PrimalResidualHeat,Norm2DualResidualElec,Norm2PrimalResidualElec,WeightedHeatValue,WeightedElecValue
0,35567.946954132465,107065.22991456105,-13047.969271089472,0.0,0.0,2.9413861440922506,509.44123953740825,3.9575370876527476,1161.545318580869,0.0,0.0
1,9218.135792365527,43193.06555546533,-3753.9803527741046,355.6794695413257,1070.6522991456143,5.77405060108959,148.93509582239153,3.765619916411639,521.4242766796555,0.07317663923934181,0.12376104120213159
2,4648.098759197039,20338.248588686747,-545.8599285050468,299.9172506258624,1502.5829547002131,1.5100900563525725,65.41931117802122,1.9411204831701883,239.58117016204372,0.056479765625569,0.17312971965380347
3,4732.654273143022,16105.038110731915,258.41900645970645,330.7495861826241,1705.9654405870726,0.6985881116260572,62.05191638775288,1.114724846103774,198.9139439658556,0.059634383209639326,0.19768813874199298
4,4006.788395257214,12723.395364423814,1227.1078222772835,377.8271476660293,1867.0139413997497,0.5112743405210619,52.2555061943226,1.1187963000033758,165.38162715817703,0.06729415743303516,0.21743563740790675
5,3178.1052753950557,9821.836683614689,2102.6150809115416,413.97919740520734,1994.2389581632253,0.5083673753647986,42.44144535310284,1.0643312765084396,134.75187983373414,0.07245421966364612,0.23313231103167886
6,2307.8502066236406,7730.16909985573,2746.588514114169,437.7957296744632,2092.3779929215953,0.48560440994275794,32.53302994420161,0.8286189084551544,110.12604427003326,0.07499689635717008,0.2455068867443215
7,1716.157133838943,5750.728105483099,3370.9414691978272,454.04994860976353,2169.598559404203,0.48509673997211156,25.77612563319616,0.7649379523357944,86.85400526563689,0.07639633903302666,0.2555352108061035
8,1304.7331899664161,4238.313208669011,3834.504374636082,465.97862271116634,2226.7548221206866,0.4559384117088895,20.528838410364006,0.6501817982626463,68.35795534968747,0.07743046262682611,0.26288300150607447
9,963.7596404675513,3177.4127794681026,4179.802657752101,473.54486735644696,2268.489803799371,0.4277966625879164,15.960147929792141,0.5250709572473814,54.53084285627894,0.0778900083622195,0.2683011066554158
10,688.2018574808496,2530.5444492401402,4407.591280343609,478.68411668816924,2298.771747447496,0.3950881202030339,12.060621233843989,0.42530893660163316,45.57968725062869,0.07815993836667708,0.2722794462361673
11,557.8131027775331,2085.1585107468286,4550.758702250836,481.8563959016122,2321.6187760432317,0.36060074620340493,10.206777374815145,0.33666235052269033,39.01532334674358,0.07830373384074382,0.27522694179489465
12,456.30547047750025,1704.041635805443,4645.4316971670905,484.35303965043624,2339.4935991364337,0.3308473419369228,8.481215922816245,0.2912300281793216,32.771723996619826,0.07842429505095828,0.27745414522160755
13,378.93164554816326,1361.829739883643,4723.0162316249125,486.75169549357116,2353.845350827128,0.3036128275604641,7.281419224575876,0.2533674215739862,26.610031780403542,0.07853662318681036,0.27916309057723737
14,315.4021286873955,1078.6051465992664,4792.738144824806,489.02975378677263,2365.3445487419717,0.27588263333756824,6.033896605578222,0.2350994937208019,21.049385486287896,0.07864462637138732,0.28046436388358575
15,275.95580784016835,874.2200237164717,4846.860152093513,490.9721131638055,2374.397863786276,0.2456420272890959,5.478366268625235,0.20668134809784836,17.380293674409476,0.07873176886294965,0.28141873483936325
16,247.62616255632884,768.1532980387982,4880.847726680717,492.4582783555973,2381.62371585947,0.214963410969492,5.095904920673849,0.16740803941017887,15.696297504352245,0.07875174106124289,0.28211373716890786
17,209.50690135300263,706.6075761919532,4900.705139700438,493.60477579356876,2387.7219116263773,0.19104465946807972,4.555362315514478,0.14333816870560842,14.971668415268795,0.07872198191125764,0.2826435942681723
18,186.46673418676738,668.104553719622,4911.769469401175,494.60446895777756,2393.1420002992086,0.1669802303164202,4.2852829596878,0.12657173797458876,14.436948245702302,0.07867771812294316,0.2830748171451613
19,163.3242558400383,637.1377478701386,4918.007277267667,495.42212083955167,2398.1969051999304,0.15018479270716567,3.918511098993937,0.11975287196605738,13.987660498157247,0.07860969995853187,0.2834585987371738
20,145.6162212199411,617.9512909736071,4920.548285811891,496.1306179993183,2403.0319531005675,0.1344259348602575,3.6819768582323147,0.1135591942442166,13.750449463511822,0.0785366017890689,0.28382251225130917
21,132.97161050542766,600.2509007096363,4922.8175347721935,496.7769808686531,2407.7581111806467,0.12179068925326064,3.5325191554454585,0.10758138279963847,13.528529432038356,0.07846748530960344,0.2841807024914669
22,128.0483070426047,573.2513277529933,4926.969190285178,497.37494156651877,2412.3869881490964,0.10959272989596058,3.423212430028183,0.10475384029977995,13.067016529483105,0.0784109057419819,0.2845339206226331
23,114.4550106801365,556.96906926768,4930.538614719211,497.9239259911713,2416.8550926881508,0.10015357078675427,3.1198245782585166,0.09972348157155737,12.814490289827214,0.07835772452096854,0.28487353855505076
24,107.0381636272075,540.8101661585713,4934.534910629284,498.4596279408211,2421.177438185521,0.09168641200372997,2.8932194943970733,0.09608106168708079,12.552091138613948,0.07831719365410858,0.28519773739145493
25,90.92754291082683,511.5443506635103,4942.074366360186,498.9222935395435,2425.3476971631426,0.08611544702917513,2.42484247190903,0.1004984361083046,11.90650490244956,0.07828003474638857,0.28550623737258196
26,81.39936463370307,465.63767123470166,4953.419083137315,499.2777753103867,2429.2448010130433,0.08006233791904976,2.1849655729030792,0.10492745711549724,10.846684959645117,0.07824179984311233,0.2857905048150956
27,69.74782270417784,416.8628525051415,4966.3350505988765,499.5597780486855,2432.7274784555625,0.07614085845628826,1.8454874497124323,0.09965537140587644,9.838782416381045,0.0782036020087676,0.2860423616511566
28,57.98161342155199,376.1378333311,4977.706290227145,499.73729011084043,2435.744146455053,0.07198938091802513,1.537679048212314,0.09524147265911036,9.086241458728567,0.07816325606689815,0.28625889350883144
29,50.78580499625756,350.357682579023,4984.739877038173,499.8072923900202,2438.3490547566194,0.0678566458887342,1.385253729054847,0.08655578920488366,8.670493462547054,0.07812280795063277,0.2864452735842079
30,42.83545321188596,333.59948125712526,4988.785761185948,499.8030791850347,2440.693439170702,0.06414239314613657,1.1588531448963109,0.08260878172289737,8.282829295288588,0.07808059925938063,0.28661224810717856
31,40.07108229648723,316.5427301909355,4992.168085722863,499.768157718922,2442.8739896230554,0.05995915772167512,1.2302408195097672,0.07725901116774346,7.853050576536005,0.0780448794934276,0.28676665703349963
32,39.49449772584337,304.98078199265905,4994.497257240963,499.7391758379539,2444.9075550268262,0.056596535922165514,1.1885531376394112,0.07181322202262753,7.685945369976957,0.07801772168486812,0.2869089378551241
33,36.61695034573059,293.07655160653593,4996.450502632578,499.71235655540613,2446.8415961756896,0.05389318138204252,1.0333892303792924,0.0736973235860176,7.4874346157860465,0.07798539757148835,0.2870438406692038
34,37.02941248007301,279.66038570567747,4998.165798343437,499.67413350077607,2448.6976098208556,0.05163544581772957,1.05264754712184,0.06486717354397756,7.2867784482030356,0.07794840547565468,0.2871719661608839
35,34.579310071600396,267.05597813456023,5000.903947549057,499.62939993870566,2450.4854756734726,0.049296809173748575,1.0275532112839911,0.0638124060156312,6.992893087047333,0.0779109012369665,0.2872952541684379
36,32.13927773070733,253.21602469783292,5004.192967118118,499.5803098094644,2452.1672926512883,0.04738613637740215,0.9301554711257368,0.06738818747407184,6.580905572402768,0.07787475403570567,0.28741091492068976
37,30.56333206146079,239.86778625342245,5006.953354995476,499.55442659061373,2453.713712799273,0.04593081954851843,0.9160077646656168,0.06587701401727451,6.25268721141914,0.07784585503997825,0.28751671632269343
38,29.442576451706184,228.06245352425248,5008.949653019504,499.5309893335361,2455.145681877036,0.04463967241693767,0.8413758761235869,0.06207241100870511,6.036316865499309,0.07782239265711761,0.2876143523816734
39,26.797426481076418,218.88436192324554,5011.085471090553,499.49348166968946,2456.4962801933666,0.04323598921175641,0.7792691457116692,0.05995901325182123,5.8680458414292564,0.0777993665173345,0.28770604808230926
40,24.618243276339186,204.96467210429276,5014.287681861405,499.43928051267716,2457.7627450240157,0.041226176252303494,0.8169547641277513,0.06475861229689756,5.554760962873473,0.07777553412836193,0.2877914760953705
41,22.30017523119039,191.03763736394825,5017.1388417822545,499.37370380207835,2458.905866039165,0.039828331507482134,0.7281326942694987,0.062271274748922564,5.245119344411908,0.07775381250727117,0.2878668866840822
42,19.219335616640684,183.35196631177945,5018.800588152715,499.2982084379735,2459.9384454495444,0.03908312283742709,0.7092535063024377,0.05858766501933804,5.078116798251532,0.07773437387419524,0.2879332456078566
43,18.405136651628037,177.8260132597992,5019.526114014332,499.20540373196815,2460.9052775700616,0.03806877974893228,0.7193498160922311,0.054916684175415474,4.919141972298897,0.07771691043261467,0.2879949011350446
44,18.208019321543027,172.36032728239005,5019.6459736263905,499.1201291862056,2461.836394453683,0.036661320321407675,0.6625246069627875,0.055223142527257664,4.77496063174987,0.07770065876504649,0.28805405644585036
45,18.04352483364495,168.45501242323675,5019.405344505821,499.05291221454297,2462.751687188886,0.035492573437182075,0.7225167139166053,0.05337780652340056,4.709942862659674,0.0776869485329441,0.28811249223052515
46,17.066560543697197,165.2811589170074,5019.210917259337,498.9948616390101,2463.6667473182897,0.03483799670035253,0.6733851702684087,0.05406449172771906,4.6585019300179065,0.0776741883374425,0.28817136038261376
47,17.127916786286796,162.85649207433505,5019.055723920256,498.928346665164,2464.584106297564,0.03327625849620513,0.6333146666840479,0.05277504144814701,4.609099630070105,0.07766036280345223,0.2882309228802877
48,16.588464465645256,160.00974925899905,5018.923325021854,498.8625282802476,2465.500032764363,0.032122459426426095,0.5664384833568181,0.04878499102451646,4.553519645367651,0.07764701379505776,0.28829082846104126
